,longitude,latitude,Z,L1,study_timestamp,individual_local_identifier
56,-113.9777476,46.76281838,0,1,5/25/2025 7:00,bear_1
57,-113.9773259,46.75953445,0,1,5/25/2025 8:00,bear_1
58,-113.9736075,46.75822762,0,1,5/25/2025 9:00,bear_1
59,-113.9712765,46.76088711,0,1,5/25/2025 10:00,bear_1
60,-113.9741466,46.76282998,0,1,5/25/2025 11:00,bear_1
61,-113.9810174,46.76452364,0,1,5/25/2025 12:00,bear_1
62,-113.9945264,46.74129547,0,2,5/25/2025 13:00,bear_2
63,-113.9993376,46.74337788,0,2,5/25/2025 14:00,bear_2
64,-114.0022364,46.7458896,0,2,5/25/2025 15:00,bear_2
65,-114.0049715,46.75013762,0,2,5/25/2025 16:00,bear_2
66,-114.0082298,46.74645068,0,2,5/25/2025 17:00,bear_2
67,-113.9999869,46.74923231,0,2,5/25/2025 18:00,bear_2
68,-114.0018479,46.75259169,0,2,5/25/2025 19:00,bear_2
69,-113.9955908,46.75286991,0,2,5/25/2025 20:00,bear_2
70,-113.993863,46.74925553,0,2,5/25/2025 21:00,bear_2
71,-113.9902533,46.75305099,0,2,5/25/2025 22:00,bear_2
72,-113.9868202,46.7503603,0,2,5/25/2025 23:00,bear_2
73,-113.9878695,46.75361173,0,2,5/26/2025 0:00,bear_2
74,-113.9931513,46.75551105,0,2,5/26/2025 1:00,bear_2
75,-113.9968215,46.7577306,0,2,5/26/2025 2:00,bear_2
76,-114.0029933,46.75861172,0,2,5/26/2025 3:00,bear_2
77,-114.0025484,46.76093759,0,2,5/26/2025 4:00,bear_2
78,-114.0082636,46.76423401,0,2,5/26/2025 5:00,bear_2
79,-113.9966757,46.76349709,0,2,5/26/2025 6:00,bear_2
80,-114.0029184,46.7667866,0,2,5/26/2025 7:00,bear_2
81,-114.013176,46.76559507,0,2,5/26/2025 8:00,bear_2
82,-114.0160549,46.76244953,0,2,5/26/2025 9:00,bear_2
83,-114.0129473,46.75762829,0,2,5/26/2025 10:00,bear_2
84,-114.0126206,46.75295317,0,2,5/26/2025 11:00,bear_2
85,-114.0154118,46.74991617,0,2,5/26/2025 12:00,bear_2
86,-114.0158138,46.74585976,0,2,5/26/2025 13:00,bear_2
87,-114.0150024,46.74019197,0,2,5/26/2025 14:00,bear_2
88,-114.0077851,46.73652474,0,2,5/26/2025 15:00,bear_2
89,-114.001474,46.73341175,0,2,5/26/2025 16:00,bear_2
90,-113.9957237,46.73298333,0,2,5/26/2025 17:00,bear_2
91,-113.9891908,46.73391125,0,2,5/26/2025 18:00,bear_2
92,-113.9930151,46.73605001,0,2,5/26/2025 19:00,bear_2
93,-113.9875356,46.7381695,0,2,5/26/2025 20:00,bear_2
94,-113.9768929,46.73811089,0,2,5/26/2025 21:00,bear_2
95,-113.9809649,46.73366684,0,2,5/26/2025 22:00,bear_2
96,-113.98285,46.73023946,0,2,5/26/2025 23:00,bear_2
97,-113.9852293,46.72622353,0,2,5/27/2025 0:00,bear_2
98,-113.9863994,46.72223677,0,2,5/27/2025 1:00,bear_2
99,-113.9830124,46.71965496,0,2,5/27/2025 2:00,bear_2
100,-113.9948038,46.72163606,0,2,5/27/2025 3:00,bear_2
101,-114.0007309,46.72582353,0,2,5/27/2025 4:00,bear_2
102,-114.0038008,46.73026521,0,2,5/27/2025 5:00,bear_2
103,-114.0042758,46.73843102,0,2,5/27/2025 6:00,bear_2
104,-114.0104486,46.74157488,0,2,5/27/2025 7:00,bear_2
