,longitude,latitude,Z,L1,study_timestamp,individual_local_identifier
80,-113.9863129,46.75736516,0,1,1/4/2023 7:00,bear_1
81,-113.9888102,46.75635524,0,1,1/4/2023 8:00,bear_1
82,-113.9885436,46.75386766,0,1,1/4/2023 9:00,bear_1
83,-113.9925817,46.75393816,0,1,1/4/2023 10:00,bear_1
84,-113.9923791,46.75638157,0,1,1/4/2023 11:00,bear_1
85,-113.9917866,46.75816325,0,1,1/4/2023 12:00,bear_1
86,-113.9937196,46.76031924,0,1,1/4/2023 13:00,bear_1
87,-113.9973358,46.75979878,0,1,1/4/2023 14:00,bear_1
88,-113.9943469,46.75808061,0,1,1/4/2023 15:00,bear_1
89,-113.9918601,46.75973321,0,1,1/4/2023 16:00,bear_1
90,-113.9899111,46.75891457,0,1,1/4/2023 17:00,bear_1
91,-113.9869492,46.75917357,0,1,1/4/2023 18:00,bear_1
92,-113.9887905,46.7571625,0,1,1/4/2023 19:00,bear_1
93,-113.9911142,46.7569398,0,1,1/4/2023 20:00,bear_1
94,-113.9952541,46.7562395,0,1,1/4/2023 21:00,bear_1
95,-113.9958967,46.76074821,0,1,1/4/2023 22:00,bear_1
96,-113.9909434,46.76119982,0,1,1/4/2023 23:00,bear_1
97,-113.9885143,46.7635227,0,1,1/5/2023 0:00,bear_1
98,-113.9854823,46.76603243,0,1,1/5/2023 1:00,bear_1
99,-113.9816357,46.76671409,0,1,1/5/2023 2:00,bear_1
100,-113.9790218,46.76846052,0,1,1/5/2023 3:00,bear_1
101,-113.9772588,46.77058669,0,1,1/5/2023 4:00,bear_1
102,-113.9737382,46.77225493,0,1,1/5/2023 5:00,bear_1
103,-113.9724337,46.76950972,0,1,1/5/2023 6:00,bear_1
104,-113.9744439,46.76770849,0,1,1/5/2023 7:00,bear_1
105,-113.9726896,46.76589444,0,1,1/5/2023 8:00,bear_1
106,-113.9742098,46.76415856,0,1,1/5/2023 9:00,bear_1
107,-113.9762867,46.76241396,0,1,1/5/2023 10:00,bear_1
108,-113.9592584,46.71683015,0,2,1/5/2023 11:00,bear_2
109,-113.9616655,46.71931126,0,2,1/5/2023 12:00,bear_2
110,-113.961837,46.72294746,0,2,1/5/2023 13:00,bear_2
111,-113.9676539,46.72379154,0,2,1/5/2023 14:00,bear_2
112,-113.975146,46.72543335,0,2,1/5/2023 15:00,bear_2
113,-113.9798031,46.72814433,0,2,1/5/2023 16:00,bear_2
114,-113.9804033,46.73241871,0,2,1/5/2023 17:00,bear_2
115,-113.9754292,46.73556564,0,2,1/5/2023 18:00,bear_2
116,-113.9679614,46.73730838,0,2,1/5/2023 19:00,bear_2
117,-113.9693907,46.742771,0,2,1/5/2023 20:00,bear_2
118,-113.9770387,46.74315961,0,2,1/5/2023 21:00,bear_2
119,-113.9718666,46.74683713,0,2,1/5/2023 22:00,bear_2
120,-113.9682954,46.75038475,0,2,1/5/2023 23:00,bear_2
121,-113.9753581,46.75010124,0,2,1/6/2023 0:00,bear_2
122,-113.9806696,46.75013212,0,2,1/6/2023 1:00,bear_2
123,-113.9890043,46.74945677,0,2,1/6/2023 2:00,bear_2
124,-113.9932749,46.75263946,0,2,1/6/2023 3:00,bear_2
125,-113.9869302,46.75614285,0,2,1/6/2023 4:00,bear_2
126,-113.9904213,46.75813714,0,2,1/6/2023 5:00,bear_2
127,-113.998345,46.75889439,0,2,1/6/2023 6:00,bear_2
128,-113.9940954,46.76250964,0,2,1/6/2023 7:00,bear_2
129,-113.9892015,46.76497893,0,2,1/6/2023 8:00,bear_2
130,-113.9832344,46.7646206,0,2,1/6/2023 9:00,bear_2
131,-113.9813715,46.76856483,0,2,1/6/2023 10:00,bear_2
132,-113.9761003,46.76981959,0,2,1/6/2023 11:00,bear_2
133,-113.9713869,46.76786899,0,2,1/6/2023 12:00,bear_2
134,-113.9723999,46.76336517,0,2,1/6/2023 13:00,bear_2
135,-113.9767049,46.76260857,0,2,1/6/2023 14:00,bear_2
